,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,Malakal,9.5334,31.6605,298.02,81,100,1.21,SS,1658674860
358,Makakilo City,21.3469,-158.0858,296.86,77,3,6.06,US,1658674860
359,Bambous Virieux,-20.3428,57.7575,293.83,70,13,5.65,MU,1658674861
360,Beloha,-25.1667,45.05,293.41,66,10,3.12,MG,1658674861
361,Tagusao,9.1924,117.8141,300.28,82,60,1.37,PH,1658674861
362,Riosucio,5.4216,-75.7032,294.2,66,73,0.8,CO,1658674862
363,Zhezkazgan,47.8043,67.7144,304.14,15,20,3.0,KZ,1658674862
364,Beidao,34.5686,105.8933,294.08,83,66,2.01,CN,1658674862
365,Port Lincoln,-34.7333,135.8667,286.4,84,97,6.81,AU,1658674854
366,Maunabo,18.0072,-65.8993,302.85,78,21,6.44,PR,1658674863
367,San Quintín,30.4833,-115.95,293.11,83,95,2.41,MX,1658674863
368,Sheridan,44.8333,-106.9173,299.43,47,0,4.63,US,1658674863
369,Alyangula,-13.8483,136.4192,293.97,91,9,4.01,AU,1658674864
370,Aksu,41.1231,80.2644,308.75,11,59,2.54,CN,1658674869
371,Vanimo,-2.6741,141.3028,299.1,89,99,2.27,PG,1658674870
372,Baghdad,33.3406,44.4009,315.1,10,0,3.6,IQ,1658674738
373,Izumo,35.3667,132.7667,298.04,88,100,1.4,JP,1658674870
374,Norman Wells,65.282,-126.8329,288.69,61,89,2.4,CA,1658674871
375,São João da Barra,-21.6403,-41.0511,297.27,65,0,5.9,BR,1658674871
376,Sioux Lookout,50.1001,-91.917,284.19,82,100,4.63,CA,1658674653
377,Broome,42.2506,-75.833,302.15,69,49,4.02,US,1658674872
378,Sindou,10.6667,-5.1667,297.68,81,100,1.63,BF,1658674872
379,Santa Maria,-29.6842,-53.8069,297.61,67,93,0.54,BR,1658674872
380,Shunyi,40.125,116.6453,298.12,73,0,2.0,CN,1658674873
381,Weston,26.1004,-80.3998,306.16,63,99,4.92,US,1658674754
382,Anchorage,61.2181,-149.9003,285.36,84,98,1.34,US,1658674633
383,Bezhetsk,57.7851,36.6965,296.23,78,78,3.86,RU,1658674873
384,Inyonga,-6.7167,32.0667,302.13,25,17,2.03,TZ,1658674874
385,Antofagasta,-23.65,-70.4,290.94,60,5,1.93,CL,1658674874
386,Vao,-22.6667,167.4833,295.47,80,57,5.85,NC,1658674875
387,Seidu,9.0167,-10.6,294.51,95,100,1.85,SL,1658674875
388,Olinda,-8.0089,-34.8553,300.0,65,40,8.75,BR,1658674875
389,Port Shepstone,-30.7414,30.455,289.17,62,39,12.25,ZA,1658674876
390,Outlook,51.5001,-107.0513,292.72,58,23,1.45,CA,1658674876
391,Tracy,37.7397,-121.4252,292.62,81,0,2.55,US,1658674700
392,Surab,28.4914,66.2585,295.16,73,98,3.6,PK,1658674876
393,Mahajanga,-15.7167,46.3167,297.97,58,9,3.7,MG,1658674877
394,San Isidro,-12.1167,-77.05,289.83,77,67,3.24,PE,1658674877
395,Qinhuangdao,39.9317,119.5883,297.33,90,1,1.17,CN,1658674878
396,Preston,53.7667,-2.7167,294.61,77,100,7.81,GB,1658674878
397,Cayenne,4.9333,-52.3333,303.2,13,75,2.57,GF,1658674879
398,Vila do Maio,15.1333,-23.2167,299.31,85,70,5.07,CV,1658674879
399,Severo-Kuril'sk,50.6789,156.125,284.64,96,100,3.76,RU,1658674879
400,Port Hawkesbury,45.6169,-61.3485,305.31,73,18,1.34,CA,1658674880
401,Tafresh,34.692,50.013,304.9,15,1,1.34,IR,1658674880
402,Sampit,-2.5333,112.95,296.22,96,85,1.27,ID,1658674882
403,Warmbad,-28.45,18.7333,290.2,22,0,6.96,NA,1658674882
404,Kerema,-7.9631,145.7785,298.28,92,96,3.38,PG,1658674882
405,Kloulklubed,7.0419,134.2556,296.43,75,100,3.01,PW,1658674883
406,Tonantins,-2.8731,-67.8022,299.57,82,100,1.3,BR,1658674883
407,Port Hardy,50.6996,-127.4199,287.03,84,86,2.53,CA,1658674836
408,Srednekolymsk,67.45,153.6833,286.37,49,100,2.76,RU,1658674883
409,Alice Springs,-23.7,133.8833,284.9,37,0,3.09,AU,1658674708
410,Tombouctou,20.0,-3.0,311.54,27,18,8.4,ML,1658674884
411,Fort Dodge,42.4975,-94.168,296.15,68,0,3.09,US,1658674884
412,Chatrā,24.2167,84.8667,299.64,78,71,5.46,IN,1658674885
413,Ancud,-41.8697,-73.8203,281.05,95,100,1.66,CL,1658674885
414,Tazmalt,36.3868,4.3989,313.1,13,1,3.23,DZ,1658674886
415,New Norfolk,-42.7826,147.0587,281.88,88,84,1.21,AU,1658674891
416,Udachny,66.4167,112.4,293.22,68,89,6.53,RU,1658674892
417,Westport,41.1415,-73.3579,306.53,56,70,2.24,US,1658674840
418,Kalmunai,7.4167,81.8167,300.76,72,100,0.61,LK,1658674892
419,Bubaque,11.2833,-15.8333,296.95,93,100,3.05,GW,1658674892
420,Puerto Escondido,15.85,-97.0667,301.95,69,92,1.65,MX,1658674893
421,Cascais,38.6979,-9.4215,306.27,45,0,8.75,PT,1658674893
422,Christchurch,-43.5333,172.6333,279.26,100,100,1.54,NZ,1658674837
423,Yatou,37.15,122.3833,295.38,93,0,2.22,CN,1658674893
424,Talnakh,69.4865,88.3972,291.94,77,83,8.5,RU,1658674894
425,Kuytun,54.3419,101.5036,288.35,70,100,1.12,RU,1658674894
426,Sabha,27.0377,14.4283,308.36,14,0,5.72,LY,1658674894
427,Karratha,-20.7377,116.8463,293.21,67,0,1.53,AU,1658674895
428,Linjiang,41.8069,126.9078,290.34,98,5,0.8,CN,1658674895
429,Villarrica,-25.75,-56.4333,301.25,43,99,3.64,PY,1658674895
430,Sirte,31.2089,16.5887,302.64,58,0,7.3,LY,1658674896
431,Ibrā’,22.6906,58.5334,303.72,49,87,8.67,OM,1658674896
432,Peruíbe,-24.32,-46.9983,297.51,52,98,1.93,BR,1658674896
433,Orlik,52.5178,99.825,283.37,84,62,1.36,RU,1658674897
434,Ténenkou,14.4572,-4.9169,307.64,37,64,3.17,ML,1658674897
435,Padang,-0.9492,100.3543,298.62,88,98,1.51,ID,1658674898
436,Hudson Bay,52.85,-102.3842,289.5,60,21,1.07,CA,1658674898
437,Victor Harbor,-35.5667,138.6167,287.04,88,100,5.89,AU,1658674898
438,Hearst,49.6835,-83.6665,290.23,93,96,2.87,CA,1658674898
439,Kumëny,58.1089,49.9161,298.01,70,31,1.91,RU,1658674899
440,North Bend,43.4065,-124.2243,286.57,100,19,0.45,US,1658674899
441,Hofn,64.2539,-15.2082,284.16,87,75,4.63,IS,1658674899
442,Mopti,14.6667,-4.0,306.71,41,100,3.45,ML,1658674900
443,Esso,55.9333,158.7,285.64,92,100,2.0,RU,1658674900
444,Iquitos,-3.7481,-73.2472,299.05,77,74,0.12,PE,1658674900
445,Sørland,67.667,12.6934,286.07,77,75,7.39,NO,1658674901
446,Emba,48.8264,58.1442,300.1,40,86,2.19,KZ,1658674901
447,Hasaki,35.7333,140.8333,298.31,87,99,6.52,JP,1658674901
448,Fatehpur,25.9333,80.8,305.86,54,91,3.5,IN,1658674902
449,Shabo,46.1326,30.386,299.34,55,94,7.1,UA,1658674902
450,Provincia di Imperia,43.9667,7.7833,307.01,74,34,2.14,IT,1658674902
451,Teahupoo,-17.8333,-149.2667,296.13,75,3,6.65,PF,1658674903
452,Synya,65.3718,58.0387,286.55,60,72,3.28,RU,1658674903
453,Nishihara,26.1842,127.7558,301.75,94,75,3.6,JP,1658674903
454,Keflavik,64.0049,-22.5624,283.39,93,75,5.66,IS,1658674903
455,Alekseyevsk,57.8406,108.3492,289.87,96,100,1.06,RU,1658674904
456,Sar-e Pul,35.8333,66.1667,299.35,23,0,1.41,AF,1658674904
457,Vikhorevka,56.1201,101.1636,288.92,75,34,0.32,RU,1658674904
458,Wamba,8.9333,8.6,302.01,64,66,2.45,NG,1658674905
459,Kirkwall,58.9848,-2.9587,292.18,77,75,6.69,GB,1658674905
460,Oranjestad,12.524,-70.027,299.75,79,2,7.73,AW,1658674905
461,Eisenach,50.9833,10.3167,305.61,26,28,2.16,DE,1658674911
462,Lata,40.1629,-8.3327,302.31,45,58,4.97,PT,1658674911
463,Pryamitsyno,51.6561,35.9314,301.45,53,60,2.66,RU,1658674911
464,Tiruchchendur,8.4833,78.1167,301.36,71,100,2.35,IN,1658674912
465,Vysokaya Gora,55.9128,49.3017,301.46,58,74,1.07,RU,1658674912
466,Orcopampa,-15.2661,-72.3417,283.81,35,25,0.79,PE,1658674912
467,Maragogi,-9.0122,-35.2225,297.59,72,100,5.61,BR,1658674913
468,Olutanga,7.3106,122.8464,301.09,77,100,2.59,PH,1658674913
469,Comodoro Rivadavia,-45.8667,-67.5,276.66,52,6,1.13,AR,1658674801
470,Ulladulla,-35.35,150.4667,284.16,93,3,1.46,AU,1658674913
471,El Cobre,20.0489,-75.9469,303.0,52,100,1.93,CU,1658674914
472,Maple Creek,49.9168,-109.4848,294.9,44,3,4.86,CA,1658674836
473,Urusha,54.05,122.9,290.08,78,14,0.95,RU,1658674914
474,Bhadrāchalam,17.6667,80.8833,298.74,90,100,0.63,IN,1658674914
475,Libreville,0.3925,9.4537,300.16,74,20,4.12,GA,1658674663
476,Sabang,5.8933,95.3214,300.8,77,100,5.88,ID,1658674915
477,Lianzhou,24.7811,112.3825,301.96,75,38,0.79,CN,1658674915
478,Altamirano,16.8833,-92.15,291.15,70,93,2.06,MX,1658674915
479,Bria,6.5423,21.9863,300.96,75,28,1.63,CF,1658674916
480,Taoudenni,22.6783,-3.9836,318.56,9,9,6.18,ML,1658674916
481,Burley,42.5357,-113.7928,294.98,15,1,4.36,US,1658674806
482,Kankaanpää,61.8,22.4167,293.57,38,30,1.66,FI,1658674916
483,Springbok,-29.6643,17.8865,288.18,21,0,9.57,ZA,1658674917
484,Santiago,-33.4569,-70.6483,292.03,65,100,1.54,CL,1658674749
485,Cabedelo,-6.9811,-34.8339,298.97,77,87,9.6,BR,1658674917
486,Flin Flon,54.7682,-101.865,290.07,55,92,2.52,CA,1658674835
487,Luwuk,-0.9516,122.7875,297.59,89,89,2.11,ID,1658674917
488,Conde,-7.2597,-34.9075,298.84,73,99,8.82,BR,1658674918
489,Matara,5.9485,80.5353,298.77,84,97,4.9,LK,1658674918
490,Zhangaözen,43.3,52.8,298.6,48,71,5.94,KZ,1658674918
491,Te Anau,-45.4167,167.7167,277.18,96,95,0.75,NZ,1658674919
492,Sofiyivka,48.0493,33.8746,303.71,27,47,4.69,UA,1658674919
493,Indianola,41.3581,-93.5574,300.13,65,85,5.76,US,1658674919
494,Fuzhou,26.0614,119.3061,301.1,88,0,0.2,CN,1658674920
495,Granada,37.25,-3.25,310.44,10,0,5.36,ES,1658674920
496,Mezen',65.8522,44.24,288.2,59,44,4.15,RU,1658674920
497,Tiksi,71.6872,128.8694,279.76,82,27,1.88,RU,1658674921
498,Diffa,13.3154,12.6113,309.9,29,23,1.34,NE,1658674921
499,Port Antonio,18.18,-76.4612,304.82,65,99,2.82,JM,1658674921
500,Upington,-28.4478,21.2561,291.23,17,0,4.87,ZA,1658674922
501,Catuday,16.2923,119.8062,301.43,78,65,3.56,PH,1658674922
502,Celestún,20.8667,-90.4,301.26,70,68,3.23,MX,1658674922
503,Locri,38.2414,16.2623,306.42,43,0,2.9,IT,1658674923
504,Ardeşen,41.1911,40.9875,295.75,72,31,2.55,TR,1658674923
505,Kidal,18.4411,1.4078,308.87,27,93,3.27,ML,1658674924
506,Praia da Vitória,38.7333,-27.0667,298.57,85,19,0.8,PT,1658674924
507,Shirokiy,49.758,129.523,291.26,88,6,1.35,RU,1658674924
508,Sūsangerd,31.5608,48.1831,316.85,6,0,7.39,IR,1658674930
509,Batagay-Alyta,67.8006,130.4114,283.97,91,28,0.55,RU,1658674930
510,Timberlake,37.3207,-79.2575,303.65,64,3,2.03,US,1658674931
511,Phang Nga,8.4509,98.5298,299.17,92,90,0.95,TH,1658674931
512,Yambio,4.5721,28.3955,300.79,66,83,1.07,SS,1658674931
513,Wajir,1.7471,40.0573,304.33,31,58,9.54,KE,1658674932
514,Andalan,5.9594,121.3903,299.8,79,100,2.0,PH,1658674932
515,Pemangkat,1.1667,108.9667,298.97,86,100,2.18,ID,1658674932
516,Longonjo,-12.9067,15.2533,302.08,17,3,2.0,AO,1658674933
517,Pisco,-13.7,-76.2167,290.42,76,91,1.43,PE,1658674933
518,La Palma,33.8464,-118.0467,294.77,84,100,1.54,US,1658674934
519,Taltal,-25.4,-70.4833,288.61,74,0,2.04,CL,1658674829
520,Tūkrah,32.5341,20.5791,302.3,61,0,7.03,LY,1658674934
521,Aykhal,66.0,111.5,293.29,72,66,6.4,RU,1658674934
522,San Ramon,37.7799,-121.978,289.58,86,0,2.24,US,1658674792
523,Venice,27.0998,-82.4543,304.41,73,0,5.14,US,1658674697
524,Zaysan,47.4667,84.8667,293.55,31,10,2.44,KZ,1658674935
525,Razdolinsk,58.4211,94.6658,288.21,76,85,1.47,RU,1658674936
526,Plettenberg Bay,-34.0527,23.3716,287.36,68,72,1.69,ZA,1658674936
527,Mahina,-17.5065,-149.489,299.02,78,40,5.14,PF,1658674936
528,Bar Harbor,44.3876,-68.2039,303.67,66,89,3.84,US,1658674937
529,Ust'-Ilimsk,58.0006,102.6619,289.67,74,68,1.46,RU,1658674937
530,Hambantota,6.1241,81.1185,301.34,78,100,3.09,LK,1658674937
531,Tibiao,11.2915,122.0354,300.31,80,98,1.48,PH,1658674938
532,Garchitorena,13.8804,123.6946,300.63,85,80,2.56,PH,1658674938
533,Salamiyah,35.0113,37.0532,308.31,16,0,7.23,SY,1658674939
534,Marzuq,14.4,46.4667,303.08,51,30,6.49,YE,1658674939
535,Havelock,34.8791,-76.9013,304.29,83,20,3.13,US,1658674900
536,Sambava,-14.2667,50.1667,294.94,82,55,5.33,MG,1658674939
537,Zhangye,38.9342,100.4517,301.45,19,2,0.9,CN,1658674940
538,Duki,30.1541,68.5728,297.66,77,100,2.15,PK,1658674940
539,Sinnamary,5.3833,-52.95,302.29,68,74,3.31,GF,1658674941
540,Berdigestyakh,62.0989,126.6992,289.6,82,4,1.77,RU,1658674941
541,Belmonte,-15.8631,-38.8828,298.39,61,44,4.27,BR,1658674941
542,Diapaga,12.0708,1.7889,296.91,82,100,3.47,BF,1658674942
543,Maceió,-9.6658,-35.7353,301.84,51,40,7.72,BR,1658674807
544,Bilma,18.6853,12.9164,315.31,11,7,6.05,NE,1658674942
545,Turan,16.0678,108.2208,302.14,79,20,1.03,VN,1658674718
546,Camaná,-16.6228,-72.7111,291.44,70,53,3.55,PE,1658674943
547,Rome,43.2128,-75.4557,302.49,65,89,0.45,US,1658674806
548,Merauke,-8.4667,140.3333,297.22,89,45,5.6,ID,1658674943
549,Zafra,38.4167,-6.4167,312.81,9,77,5.1,ES,1658674944
550,Marrakesh,31.6315,-8.0083,315.19,13,40,9.26,MA,1658674723
551,Emerald,-23.5333,148.1667,287.19,68,0,2.81,AU,1658674944
552,Muroto-misakicho,33.2833,134.15,299.13,84,96,1.53,JP,1658674944
553,Sibolga,1.7427,98.7792,298.38,92,100,2.02,ID,1658674945
554,Hihyā,30.6713,31.588,309.67,16,2,7.68,EG,1658674945
555,Camocim,-2.9022,-40.8411,305.81,46,21,5.06,BR,1658674951
556,Krutinka,56.0055,71.5113,289.21,82,78,3.67,RU,1658674951
557,Mamlyutka,54.9375,68.5394,292.32,77,40,3.14,KZ,1658674951
558,Chui,-33.6971,-53.4616,291.38,85,49,1.27,UY,1658674952
559,Buin,-33.7333,-70.75,291.97,74,100,1.14,CL,1658674952
560,Bima,-8.4667,118.7167,293.29,83,25,1.97,ID,1658674952
561,Guanambi,-14.2233,-42.7814,300.83,41,93,5.83,BR,1658674909
562,Portland,45.5234,-122.6762,290.9,88,5,1.34,US,1658674444
563,Poum,-20.2333,164.0167,296.45,71,0,4.17,NC,1658674953
564,Solnechnyy,50.7214,136.6319,289.95,91,10,1.69,RU,1658674953
565,Daru,-9.0763,143.2092,297.94,89,100,6.56,PG,1658674953
566,Bethel,41.3712,-73.414,305.07,59,44,0.89,US,1658674954
567,Galesong,-5.3166,119.3661,296.16,76,90,4.75,ID,1658674954
568,Langxiang,46.95,128.8833,290.6,99,100,1.06,CN,1658674954
569,Kota Belud,6.351,116.4305,298.69,89,99,1.63,MY,1658674955
570,Thunder Bay,48.4001,-89.3168,287.94,87,75,4.65,CA,1658674840
571,Kholodnyy,62.7167,147.95,284.67,89,96,1.59,RU,1658674955
572,Wanaka,-44.7,169.15,273.77,97,94,0.89,NZ,1658674955
573,Bowen,-20.0167,148.2333,289.08,91,5,2.96,AU,1658674956
574,Serov,59.6033,60.5787,295.81,69,77,1.29,RU,1658674956
575,Province of Mantua,45.1667,10.7833,310.98,39,3,3.48,IT,1658674956
576,Karasuk,53.7377,78.0403,287.92,71,44,3.34,RU,1658674957
577,Revelstoke,50.9832,-118.2023,295.94,48,27,0.4,CA,1658674865
578,Inhambane,-23.865,35.3833,295.48,70,26,2.98,MZ,1658674957
579,Joanópolis,-22.9303,-46.2756,300.18,27,66,0.43,BR,1658674957
580,Fallon,39.4735,-118.7774,299.51,21,0,2.55,US,1658674958
581,Nueva Loja,0.0847,-76.8828,298.33,74,91,0.92,EC,1658674958
582,Rafrāf,37.1904,10.1837,309.32,51,0,4.85,TN,1658674958
